ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1279;MONUMENTO;1;MARMOL;PAUL GROUSSAC;TROIANI, TROIANO;JARDIN DE LOS POETAS;JARDIN DE LOS POETAS;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;;COMUNA 14;1425;C1425CHA;-34.5700668;-58.42048287
1311;MONUMENTO;1;MARMOL;CRISTOBAL COLON;ZOCCHI, ARNALDO;PARQUE COLON SUR;PARQUE COLON SUR;PASEO COLON AV. Y YRIGOYEN, HIPOLITO AV.;PASEO COLON AV.;;;COMUNA 1;;;-34.6088315;-58.3696578
1315;MONUMENTO;1;BRONCE Y PIEDRA;LEANDRO N. ALEM;ZONZA BRIANO, PEDRO;PZTA AZUCENA MAIZANI;PZTA AZUCENA MAIZANI;DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.;DEL LIBERTADOR AV.;;;COMUNA 1;;;-34.59265225;-58.37544732
1318;MONUMENTO;1;BRONCE Y MARMOL;FRANKLIN DELANO ROOSEVELT;FIORAVANTI, JOSE;PLAZA MARTIN DE ALZAGA;PLAZA MARTIN DE ALZAGA;DORREGO AV. 80;DORREGO AV.;80;CHACARITA;COMUNA 15;1414;C1414CJN;-34.59740703;-58.4550354
1373;MONUMENTO;1;HIERRO Y HORMIGON;HJE. VICTIMAS TRAGEDIA DE ONCE;G.C.B.A.;PLAZA MISERERE;PLAZA MISERERE;MITRE, BARTOLOME 2819;MITRE, BARTOLOME;2819;BALVANERA;COMUNA 3;1201;C1201AAA;-34.60889247;-58.40622385
1375;MONUMENTO MAUSOLEO;1;BRONCE Y PIEDRA;BERNARDINO RIVADAVIA;YRURTIA, ROGELIO;PLAZA MISERERE;PLAZA MISERERE;MITRE, BARTOLOME 2819;MITRE, BARTOLOME;2819;BALVANERA;COMUNA 3;1201;C1201AAA;-34.60889247;-58.40622385
1453;MONUMENTO;1;GRANITO Y BRONCE;DR. MIGUEL DE AZCUENAGA;CORDIER, LUIS ERNESTO;PLAZA PRIMERA JUNTA;PLAZA PRIMERA JUNTA;RIVADAVIA AV. Y BARCO CENTENERA DEL;RIVADAVIA AV.;;;COMUNA 6;;;-34.62082004;-58.4411025
1482;MONUMENTO;1;BRONCE Y PIEDRA;EDUARDO COSTA;;PLAZA R GONZALEZ FERNANDEZ;PLAZA R GONZALEZ FERNANDEZ;SARMIENTO AV. E IRAOLA AV.;SARMIENTO AV.;;;COMUNA 14;;;-34.57214617;-58.41246804
1538;MONUMENTO;1;BRONCE Y GRANITO;GRL.BERNARDO DE O'HIGGINS;MAZZA CORDOBA, G.;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1601;MONUMENTO;1;MARMOL;DR.ARISTOBULO DEL VALLE;PEYNOT, EMILIO EDMUNDO;PLAZA REPUBLICA DEL URUGUAY;PLAZA REPUBLICA DEL URUGUAY;DEL LIBERTADOR AV. 1702;DEL LIBERTADOR AV.;1702;RECOLETA;COMUNA 2;1425;C1425AAQ;-34.58319728;-58.39752727
