ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1306;MONUMENTO MAUSOLEO;1;BRONCE Y GRANITO;GRL. MANUEL BELGRANO;XIMENEZ, ETTORE;ATRIO IGLESIA SANTO DOMINGO;ATRIO IGLESIA SANTO DOMINGO;BELGRANO AV. 422;BELGRANO AV.;422;MONSERRAT;COMUNA 1;1092;C1092AAR;-34.61257297;-58.37236647
1310;MONUMENTO Y MONOLIT;1;BRONCE Y MAMPOSTERIA;CORONEL MANUEL DORREGO;YRURTIA, ROGELIO;PZTA SUIPACHA;PZTA SUIPACHA;VIAMONTE Y SUIPACHA;VIAMONTE;;SAN NICOLAS;COMUNA 1;;;-34.60012814;-58.37967425
1317;MONUMENTO;1;BRONCE Y GRANITO;GRL. JULIO ARGENTINO ROCA;ZORRILLA DE SAN MARTINN;PZTA TANTURI;PZTA TANTURI;ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV. Y PERU;ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV.;;MONSERRAT;COMUNA 1;;;-34.61042896;-58.3748516
1432;MONUMENTO ALEGORICO;1;BRONCE Y MADERA;CAMPANA DE LA PAZ;;JARDIN JAPONES;JARDIN JAPONES;CASARES AV. 3401;CASARES AV.;3401;PALERMO;COMUNA 14;1425;C1425EWA;-34.57726013;-58.40986535
1450;MONUMENTO;1;MARMOL;PRESBITERO MANUEL ALBERTI;CORREA MORALES, L.;PLAZA PRESBITERO MANUEL ALBERTI;PLAZA PRESBITERO MANUEL ALBERTI;ARCOS Y UGARTE, MANUEL;ARCOS;;BELGRANO;COMUNA 13;;;-34.55480625;-58.45867268
1474;MONUMENTO;1;BRONCE Y MARMOL;FRANCISCO DE PAULA SANTANDER;BORNER, CARL;PLAZA R GONZALEZ FERNANDEZ;PLAZA R GONZALEZ FERNANDEZ;SARMIENTO AV. E IRAOLA AV.;SARMIENTO AV.;;PALERMO;COMUNA 14;;;-34.57214617;-58.41246804
1483;MONUMENTO;1;BRONCE Y MARMOL;RAMON L.FALCON Y LARTIGAU;LAGOS, ALBERTO;PLAZA RAMON CARCANO;PLAZA RAMON CARCANO;HAEDO, EDUARDO V., PRES. Y ALVEAR AV.;HAEDO, EDUARDO V., PRES.;;RECOLETA;COMUNA 2;;;-34.58675316;-58.39057034
1484;MONUMENTO;1;BRONCE Y MARMOL;RIQUEZA AGROPEÑARIA ARGENTINA;BREDOW, GUSTAVO A.;PLAZA REPUBLICA DE ALEMANIA;PLAZA REPUBLICA DE ALEMANIA;SCALABRINI ORTIZ, RAUL 2602;SCALABRINI ORTIZ, RAUL;2602;PALERMO;COMUNA 14;1425;C1425DBU;-34.5844382;-58.41494718
1531;MONUMENTO;1;BRONCE;MARTIN MIGUEL DE GUEMES;ARRIGUTTI, MARIO;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1534;MONUMENTO;1;BRONCE;GREGORIO DE LAS HERAS;DAL PORTO, ORIO;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1539;MONUMENTO;1;PIEDRA;VIRGEN DEL CARMEN DE CUYO;PIANNA, QUINTINO;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1540;MONUMENTO;1;BRONCE Y GRANITO;A.M.DE AGUADO-EL BIENHECHOR;ROSSELLI, VICENTE;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1541;MONUMENTO;1;BRONCE;MANUEL DE ARENALES;RUIZ, H.A.;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1542;MONUMENTO;1;BRONCE Y GRANITO;MARISCAL RAMON CASTILLA;TORROSIMO, VICENTE;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1543;MONUMENTO;1;BRONCE;GRL. JUAN MARTIN DE PUEYRREDON;VILADRICH, WILFREDO;PLAZA REPUBLICA DE CHILE;PLAZA REPUBLICA DE CHILE;DEL LIBERTADOR AV. 2100;DEL LIBERTADOR AV.;2100;PALERMO;COMUNA 14;1425;C1425AAT;-34.5818478;-58.40236341
1582;MONUMENTO;1;MARMOL;GARCILASO DE LA VEGA-EL INCA;ROCA REY, JOAQUIN;PLAZA REPUBLICA DEL PERU;PLAZA REPUBLICA DEL PERU;FIGUEROA ALCORTA, PRES. AV. 3437;FIGUEROA ALCORTA, PRES. AV.;3437;PALERMO;COMUNA 14;1425;C1425CLA;-34.5768258;-58.40433093
1649;MONUMENTO;1;PIEDRA;COLUMNA DE PERSEPOLIS;REPRODUCCION;PLAZA REPUBLICA ISLAMICA DE IRAN;PLAZA REPUBLICA ISLAMICA DE IRAN;BERRO, ADOLFO AV. Y SARMIENTO AV.;BERRO, ADOLFO AV.;;PALERMO;COMUNA 14;;;-34.57214617;-58.41246804
1658;MONUMENTO;1;BRONCE Y GRANITO;DR. BERNARDO DE IRIGOYEN;BENLLIEURE GIL, M.;PLAZA RODRIGUEZ PEÑA;PLAZA RODRIGUEZ PE?A;CALLAO AV. 965;CALLAO AV.;965;RECOLETA;COMUNA 2;1023;C1023AAC;-34.59755468;-58.39305326
1718;MONUMENTO;1;BRONCE Y MARMOL;RUBEN DARIO;FIORAVANTI, JOSE;AV PRES FIGUEROA ALCORTA 2302;AV PRES FIGUEROA ALCORTA 2302;FIGUEROA ALCORTA, PRES. AV. 2302;FIGUEROA ALCORTA, PRES. AV.;2302;RECOLETA;COMUNA 2;1425;C1425CKP;-34.58311464;-58.39305904
1719;MONUMENTO;1;BRONCE;RAOUL WALLENBERG;JACKSON, PHILIP;AV PRES FIGUEROA ALCORTA 2302;AV PRES FIGUEROA ALCORTA 2302;FIGUEROA ALCORTA, PRES. AV. 2302;FIGUEROA ALCORTA, PRES. AV.;2302;RECOLETA;COMUNA 2;1425;C1425CKP;-34.58311464;-58.39305904
1747;MONUMENTO;1;BRONCE Y HORMIGON;GRANADEROS A CABALLO;SAVIO, ENRIQUE LUIS;PLAZA SAN MARTINN;PLAZA SAN MARTINN;DEL LIBERTADOR AV. 2;DEL LIBERTADOR AV.;2;RETIRO;COMUNA 1;1001;C1001ABN;-34.59368281;-58.37410054
1795;MONUMENTO;1;MARMOL Y GRANITO;DR.EMILIO MITRE;CULLEN AYERZA, H.;AV ALVEAR 2136;AV ALVEAR 2136;ALVEAR AV. 2136;ALVEAR AV.;2136;RECOLETA;COMUNA 2;1129;C1129AAQ;-34.58565624;-58.39026165
1845;MONUMENTO;1;BRONCE Y GRANITO;CARLOS TEJEDOR Y LA HISTORIA;CORREA MORALES, L.;DEL LIBARTADOR AV 3101;DEL LIBARTADOR AV 3101;DEL LIBERTADOR AV. 3101;DEL LIBERTADOR AV.;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343;-58.41177108
1940;MONUMENTO;1;GRANITO Y BRONCE;JUAN JOSE CASTELLI;EBERLEIN, GUSTAVO;DEL LIBARTADOR AV 3101;DEL LIBARTADOR AV 3101;DEL LIBERTADOR AV. 3101;DEL LIBERTADOR AV.;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343;-58.41177108
2025;MONUMENTO;1;BRONCE Y MARMOL;DOMINGO FAUSTINO SARMIENTO;RODIN, AUGUSTO;DEL LIBARTADOR AV 3101;DEL LIBARTADOR AV 3101;DEL LIBERTADOR AV. 3101;DEL LIBERTADOR AV.;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343;-58.41177108
2130;MONUMENTO;1;CEDRO;TOTEM CANADIENSE;;DEL LIBARTADOR AV 3101;DEL LIBARTADOR AV 3101;DEL LIBERTADOR AV. 3101;DEL LIBERTADOR AV.;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343;-58.41177108
2164;MONUMENTO;1;CEMENTO PATINADO;HUGO DEL CARRIL;TOTO, CARLOS MARIA;DELFIN GALLO 5746;DELFIN GALLO 5746;GALLO, DELFIN 5746;GALLO, DELFIN;5746;VILLA LUGANO;COMUNA 8;1439;C1439IBB;-34.67722311;-58.47607551
2177;MONUMENTO;1;BRONCE;VICENTE LOPEZ Y PLANES;ALONSO, MATEO;PLAZA VICENTE LOPEZ;PLAZA VICENTE LOPEZ;;;;;;;;;
2218;MONUMENTO;1;HORMIGON Y ACERO;AVION MIRAGE III;;PZTA AERONAUTICA ARGENTINA;PZTA AERONAUTICA ARGENTINA;LARRAZABAL AV. Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.;LARRAZABAL AV.;;VILLA LUGANO;COMUNA 8;;;-34.68013913;-58.46647128
2233;MONUMENTO;1;BRONCE Y GRANITO;CARLOS III*;VARGAS, ALFONSO;PZTA VIRREINATO DEL RIO DE LA PLATA;PZTA VIRREINATO DEL RIO DE LA PLATA;DEL LIBERTADOR AV. 3400;DEL LIBERTADOR AV.;3400;PALERMO;COMUNA 14;1425;C1425ABT;-34.57527713;-58.4149428
